Gene	Target family	Hallmark of aging
PTEN	Esterase	Cellular senescence, Deregulated nutrient signaling, Genomic instability
PTK2	Tyrosine kinase	Cellular senescence, Genomic instability
RAB13	Hydrolase 	Deregulated nutrient signaling, Impaired proteostasis, Mitochondrial dysfunction
RAB14	Hydrolase 	Extracellular matrix stiffness
RAB31	Hydrolase 	Impaired proteostasis, Mitochondrial dysfunction
RAB32	Hydrolase 	Genomic instability, Mitochondrial dysfunction
RAB33B	Hydrolase 	Impaired proteostasis, Mitochondrial dysfunction
RAB4B	Hydrolase 	Deregulated nutrient signaling
RAB5C	Hydrolase 	Altered intercellular communications, Stem cell exhaustion
RAB7A	Hydrolase 	Mitochondrial dysfunction
RAB7B	Hydrolase 	Impaired proteostasis, Inflammation, Mitochondrial dysfunction
RAB8B	Hydrolase 	Altered intercellular communications, Impaired proteostasis, Mitochondrial dysfunction
RAP2C	Hydrolase 	Extracellular matrix stiffness
RHOA	Hydrolase 	Altered intercellular communications
RHOT1	Hydrolase 	Mitochondrial dysfunction
RHOT2	Hydrolase 	Mitochondrial dysfunction
RHOU	Hydrolase 	Altered intercellular communications
RNF125	Acyltransferase	Inflammation, Retrotranspositions
RNF126	Acyltransferase	Genomic instability
RNF14	Acyltransferase	Extracellular matrix stiffness, Mitochondrial dysfunction
RNF5	Acyltransferase	Impaired proteostasis, Mitochondrial dysfunction
ROCK1	AGC kinase	Cellular senescence, Genomic instability, Stem cell exhaustion
RRAGD	Hydrolase 	Deregulated nutrient signaling
SETD1B	Methyltransferase	Stem cell exhaustion
SIRT1	Acyltransferase	Altered intercellular communications, Cellular senescence, Deregulated nutrient signaling, Epigenetic shift, Extracellular matrix stiffness, Genomic instability, Impaired proteostasis, Inflammation, Mitochondrial dysfunction, Retrotranspositions, Stem cell exhaustion, Telomere attrition
SOD2	Oxidoreductase	Mitochondrial dysfunction
SPP1	Cytokine	Extracellular matrix stiffness, Inflammation, Stem cell exhaustion
SRC	Tyrosine kinase	Cellular senescence, Mitochondrial dysfunction
TGFB1	Growth factor	Altered intercellular communications, Cellular senescence, Stem cell exhaustion
TGFBR2	Receptor kinase	Cellular senescence
TGS1	Methyltransferase	Telomere attrition
TLR2	Receptor	Impaired proteostasis, Inflammation
TLR4	Receptor	Inflammation, Mitochondrial dysfunction
TNF	Tumour necrosis factor	Altered intercellular communications, Inflammation, Telomere attrition
TNIK	Protein kinase	Altered intercellular communications, Cellular senescence, Deregulated nutrient signaling, Extracellular matrix stiffness, Genomic instability, Stem cell exhaustion
TRAF6	Acyltransferase	Extracellular matrix stiffness
UBE2E3	Acyltransferase	Cellular senescence, Impaired proteostasis, Stem cell exhaustion
UBE2M	Acyltransferase	Altered intercellular communications, Impaired proteostasis
UBE2O	Acyltransferase	Genomic instability, Impaired proteostasis
UBE4A	Acyltransferase	Genomic instability, Impaired proteostasis
UCHL5	Peptidase	Impaired proteostasis, Inflammation
USP2	Peptidase	Altered intercellular communications, Impaired proteostasis, Mitochondrial dysfunction
VDR	Nuclear receptor	Impaired proteostasis, Inflammation
VEGFA	Growth factor	Deregulated nutrient signaling, Inflammation
WWP1	Acyltransferase	Impaired proteostasis
